"Table S4. Quasi-likelihood F-tests for VRE0008 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
vancomycin resistance response regulator transcription factor VanR-A,4.52066583,11.07947132,379.5739548,4.28330673251678e-06,0.004762749
VanA-type vancomycin resistance histidine kinase VanS,4.979967089,12.20601299,378.7250451,4.30823076639327e-06,0.004762749
D-alanine--(R)-lactate ligase VanA,8.645781177,15.19630771,221.1325526,1.72790612477633e-05,0.008588065
D-lactate dehydrogenase VanH-A,8.320405104,14.47539117,219.3798393,1.76360211631737e-05,0.008588065
D-Ala-D-Ala dipeptidase VanX-A,8.839314952,14.96764885,211.2966187,1.94212223767902e-05,0.008588065
Cysteine protease staphopain A,-2.082957992,10.66694209,104.0074094,0.00011782,0.035850726
pyruvate oxidase,2.146868632,10.22601934,96.10961131,0.000143642,0.035850726
Lytic polysaccharide monooxygenase,3.001789335,10.03740278,92.64963982,0.000157448,0.035850726
Endonuclease/exonuclease/phosphatase,-3.122322137,6.704948117,91.7988765,0.000161122,0.035850726
Manganese catalase family protein,1.850500743,6.614212085,91.34220146,0.000163143,0.035850726
"Kinase, PfkB family",2.745397678,6.265275565,84.81445405,0.000196294,0.035850726
Maltose phosphorylase,-4.160615256,8.73103493,82.75852914,0.000208656,0.035850726
Glutathione peroxidase,1.980704778,7.64545704,79.36317275,0.000231545,0.035850726
RuBisCO-large domain-containing protein,2.23814082,1.471762053,74.90459913,0.000267275,0.035850726
beta-phosphoglucomutase,-4.005025735,7.809745688,74.85399713,0.00026766,0.035850726
Cyclic lactone autoinducer peptide,-1.329696366,6.993976368,73.43942763,0.000280589,0.035850726
Cysteine synthase,2.915412904,7.934045554,72.41797001,0.000290467,0.035850726
NAD(P)-dependent dehydrogenase,1.372566192,7.48945836,71.00661258,0.000304924,0.035850726
Alpha/beta hydrolase fold protein,1.330824663,6.840417226,70.71076389,0.00030808,0.035850726
Magnesium transporter,1.45775452,7.3620999,65.97977066,0.000365314,0.038946986
"Oligo-1,6-glucosidase",-2.492516162,6.629113715,61.44266436,0.000434975,0.038946986
NAD(P)-bd-dom domain-containing protein,1.252936003,6.282070698,60.4474531,0.000452676,0.038946986
Glycosyltransferase family 8 protein,1.207644526,7.016729049,60.27281482,0.000455884,0.038946986
Conjugal transfer protein TraE,3.144012655,11.77520823,59.99003741,0.000461147,0.038946986
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",2.115652413,4.238965008,57.02234812,0.000521805,0.038946986
Orotate phosphoribosyltransferase,-1.554955137,6.032850032,56.63892709,0.000530432,0.038946986
diaminopimelate epimerase,1.938048988,3.081242089,56.41685967,0.000535522,0.038946986
PTS glucose/maltose transporter subunit IIBCA,-3.688324647,9.284063223,55.62868978,0.000554131,0.038946986
YrhK domain-containing protein,1.170890885,6.322319072,54.78496417,0.000575058,0.038946986
General stress protein 69,1.168364992,8.855317003,53.9678184,0.000596382,0.038946986
Alpha-glycosidase,-2.653854261,7.935783638,53.42961781,0.000611027,0.038946986
glucosamine-6-phosphate deaminase,-1.158611212,7.988961908,52.89576314,0.00062605,0.038946986
Glucose uptake protein GlcU,1.329390472,7.405012727,52.68081951,0.000632242,0.038946986
NADH peroxidase,1.68242765,10.29792929,51.45260893,0.000669304,0.038946986
UbiC transcription regulator-associated domain protein,1.883103371,6.897791495,50.72057833,0.000692832,0.038946986
cspA thermoregulator,-1.556697098,10.25957771,50.12795385,0.000712726,0.038946986
RibD-C domain-containing protein,1.106747982,4.262420933,49.63740522,0.000729795,0.038946986
cystathionine gamma-synthase,3.203690064,10.13614616,49.49062817,0.000735011,0.038946986
4-hydroxy-tetrahydrodipicolinate reductase,2.146409328,4.620272989,49.39526239,0.000738429,0.038946986
Amidohydro-3 domain-containing protein,1.786358109,6.856293691,48.88960953,0.000756919,0.038946986
ribonuclease P protein component,-1.20027621,7.246751835,48.63122335,0.000766615,0.038946986
Carnitine transport ATP-binding protein OpuCA,1.247312903,7.925202469,48.619596,0.000767055,0.038946986
Oxidoreductase NAD-binding Rossmann fold protein,-2.352175005,8.362273418,48.53688624,0.000770198,0.038946986
4-hydroxy-tetrahydrodipicolinate synthase,2.0557845,5.026053624,48.40972294,0.000775064,0.038946986
ReoY family proteolytic degradation factor,1.005851492,7.742956606,46.96778663,0.000833342,0.039872376
Endolytic transglycosylase MltG,-1.053898856,5.477484193,46.64419823,0.000847248,0.039872376
glycopeptide resistance protein VanZ-A,2.385141023,7.925098943,46.63653445,0.000847581,0.039872376
