"Table S6. Quasi-likelihood F-tests for NS0794 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
Purine riboswitch,3.290695858,2.979304974,28.21881134,0.004871512,0.99577859
Ammonium transporter,3.003303504,2.416868897,20.02950475,0.009265942,0.99577859
Methyltransferase family protein,-1.778900567,-2.189981547,9.826066716,0.031691881,0.99577859
Periplasmic binding protein domain-containing protein,-1.771532398,0.903148399,8.725627062,0.03807315,0.99577859
Glutamine--fructose-6-phosphate aminotransferase [isomerizing],-1.553419055,7.451778852,8.59528721,0.038942404,0.99577859
Nicotinamide mononucleotide transporter,1.168919699,5.735252562,7.810922437,0.045042438,0.99577859
glmS glucosamine-6-phosphate activated ribozyme,-1.243237315,3.728588114,7.666180604,0.046320812,0.99577859
L-ribulokinase,-1.156297551,1.97654983,7.513774727,0.047729667,0.99577859
Bacteriocin ABC transporter ATP-binding protein,-3.187930339,3.150850329,6.8269634,0.054913371,0.99577859
Dihydroorotase,-4.428038122,5.238231651,6.532868853,0.058479247,0.99577859
Glutamate:gamma-aminobutyrate antiporter,-1.480238278,3.635405106,6.492084964,0.058999178,0.99577859
tRNA-Ser(gct),-2.73685387,1.822046067,6.367916808,0.060655414,0.99577859
Bacteriocin-associated integral membrane protein,-3.196118916,5.20363665,6.318350819,0.06130243,0.99577859
Bacteriocin,-3.872587277,4.443264169,6.312931073,0.061380855,0.99577859
collagen-binding MSCRAMM adhesin Acm,1.145666709,8.468625386,6.295692109,0.061612574,0.99577859
Tagaturonate reductase,-1.144763034,3.690172771,6.148022621,0.063692044,0.99577859
"1,4-dihydroxy-2-naphthoate polyprenyltransferase",-2.381999355,3.595580342,6.022340947,0.065544806,0.99577859
Xanthine phosphoribosyltransferase,1.124759391,5.652014012,5.987376669,0.066074337,0.99577859
Rhodanese family protein,-1.005157713,2.312279268,5.726407513,0.070237736,0.99577859
Uncharacterized epimerase/dehydratase SH2450,2.561151522,6.47482923,5.65765921,0.071396113,0.99577859
"Phosphotransferase system, mannose/fructose-specific component IIA",1.726933868,3.488788167,5.372191572,0.076533739,0.99577859
HTH deoR-type domain-containing protein,-2.005567346,8.622068073,5.272596297,0.078455719,0.99577859
pemK RNA,-1.156657896,-1.578906247,5.276975949,0.078743739,0.99577859
"Glutamine ABC transporter, ATP-binding protein GlnQ",1.249249543,7.79144588,5.20472396,0.079806901,0.99577859
YigZ family protein,1.21200196,5.861408576,5.144032862,0.081044604,0.99577859
Glutaminase 1,-4.464946839,5.403074286,5.141374306,0.081101909,0.99577859
ROK family protein,-1.200568875,3.953963267,5.114072139,0.081666161,0.99577859
Teichoic acid D-alanyltransferase,1.165503309,9.074955351,5.070154439,0.082590107,0.99577859
Glucose uptake protein,-0.937394805,8.029152545,5.045996271,0.083104996,0.99577859
DUF3991 domain-containing protein,0.831396897,7.500915402,5.007941179,0.083925805,0.99577859
Phosphate import ATP-binding protein PstB,0.945556212,6.203270022,4.990426573,0.084307633,0.99577859
Type II secretion system protein,-1.07694683,-0.289579467,4.929865046,0.085742412,0.99577859
"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",-1.903028701,9.836987881,4.851681768,0.087425774,0.99577859
Carbamoyl-phosphate synthase pyrimidine-specific small chain,-3.909627858,6.182571134,4.832276951,0.087875528,0.99577859
Uracil transporter,-2.95401176,6.405327239,4.769442364,0.089355681,0.99577859
Sorbitol-6-phosphate 2-dehydrogenase,3.228296253,0.067117373,4.708955564,0.091098469,0.99577859
L-tyrosine decarboxylase,-1.654053839,6.032621453,4.604987744,0.093410107,0.99577859
MerR family transcriptional regulator,1.140915705,8.296448644,4.579130262,0.094072451,0.99577859
tRNA-Glu(ttc),-3.066715312,-0.606433973,4.576060258,0.094460673,0.99577859
DNA topoisomerase 1,-1.504686375,6.040107618,4.556326524,0.094662401,0.99577859
"Sugar-specific permease, EIIA 1 domain:PTS system, beta-glucoside-specific IIABC component",-1.282508454,7.32880571,4.388121742,0.09918958,0.99577859
Mannonate dehydratase,1.341096457,6.92227269,4.298251185,0.101742019,0.99577859
tRNA-Ser(tga),-2.657207004,2.38942439,4.285153538,0.102133793,0.99577859
Amino acid permease family protein,-1.897770803,10.69858635,4.262051139,0.102797926,0.99577859
ATP synthase subunit delta,-0.871317064,7.771632369,4.228453611,0.103792637,0.99577859
carbamoyl-phosphate synthase (glutamine-hydrolyzing),-2.926379932,6.044261667,4.130897327,0.106763894,0.99577859
DegV family protein with EDD domain,-1.529626151,6.864003145,4.039188362,0.109674571,0.99577859
tRNA-fMet(cat),-3.513463265,0.099834205,4.018094919,0.110669337,0.99577859
ABC3 transporter permease protein domain-containing protein,1.178853976,11.66323514,3.980006297,0.111616401,0.99577859
